equation,answer
"(y+x)\,{d y}=(y-x)\,d x",\sqrt{x^2+y^2}=Ce^{-\arctan{\frac{y}{x}}}
"\left(x-y\cos{\frac{y}{x}}\right)d x+x\cos{\frac{y}{x}}\,d y=0",\sin{\frac{y}{x}}=\ln x+C
3y-7x+7=(3x-7y-3)\frac{dy}{dx},(y+x-1)^5(y-x+1)^2=C
(x+2y+1){\frac{d y}{d x}}=2x+4y+3,e^{10y-20x}=C(5x+10y+7)^{2}
{\frac{d y}{d x}}=2\Bigl({\frac{y+2}{x+y-1}}\Bigr)^{2},e^{-2\arctan{\frac{y+2}{x-3}}}=C\left(y+2\right)
(x+y)^{2}{\frac{d y}{d x}}=a^{2},x=-y+a\tan({\frac{y+C}{a}})
"x\,{\frac{d y}{d x}}-4y=x^{2}\sqrt{y}",y=x^{4}\Bigl(C_{1}+\frac{1}{2}\ln x\Bigr)^{2}
"{\frac{d i}{d t}}+{\frac{R}{L}}\,i={\frac{E}{L}}",i=\frac{E}{R}{\Big(}1- e^{-\frac{R}{L}t}{\Big)}
"\cos x\,{\frac{d y}{d x}}=y\sin x+\cos^{2}x",y={\frac{C}{\cos x}}+{\frac{1}{2}}\sin x+{\frac{x}{2\cos x}}
{\frac{d y}{d x}}+y\;{\frac{d\varphi}{d x}}=\varphi\;(x)\;{\frac{d\varphi}{d x}},y=C e^{-\varphi(x)}+\varphi\left(x\right)-1
{\frac{d y}{d x}}=2x y-x^{3}+x,"y=C e^{x^{2}}+{\frac{1}{2}}\,x^{2}"
"{\frac{d y}{d x}}+{\frac{x}{1+x^{2}}}y={\frac{1}{x\,(1+x^{2})}}",y={\frac{1}{V{\overline{{1+x^{2}}}}}}{\Big(}C+\ln{\frac{-1+{\sqrt{1+x^{2}}}}{x}}{\Big)}
"(x-2y x-y^{2})\,d y+y^{2}\,d x=0",x=y^{2}+C y^{2}e^{\frac{1}{y}}
xy^{\prime}\vdash y=x y^{2}\ln x,{\frac{1}{y}}=x{\Big(}C-{\frac{1}{2}}\ln^{2}x{\Big)}
y^{\prime}-{\frac{x y}{2\left(x^{2}-1\right)}}-{\frac{x}{2y}}=0,"y=\textstyle{\sqrt{2\,{\sqrt{1-x^{2}}}+x^{2}-1}}"
{\frac{d y}{d x}}\left(x^{2}y^{3}+x y\right)=1,{\frac{1}{x}}=C e^{-{\frac{1}{2}}{\ y}^{2}}-y^{2}+2
"(x-y^{2})\,d x+2x y\,d y=0",y^{2}=-x\ln x+C x
"(14x+13y+6)\,d x+(4x+5y+3)\,d y+(7x+5y)\,(y\,d x-x\,d y)=0",x-1=C\left(y\ +2\right)
"(7x+8y+5)\,d x-(7x+8y)\,d y+5\,(x-y)\,(y\,d x-x\,d y)=0","(2x+3y+1)\,(x-y+1)=C(-x+y+1)^{2}"
{\frac{d y}{d x}}=y^{2}+{\frac{1}{2x^{2}}},y=\frac{1}{x\left[-1+\mathrm{tg}\bigl(C-\frac{1}{2}\ln x\bigr)\right]}
{\frac{d y}{d x}}+y^{2}=x^{-{\frac{4}{3}}},"y_{1}=\frac{3\,(C e^{6x_1^\frac{1}{3}}+1)}{(3x_{1}^{\frac{2}{3}}-x_{1}^{\frac{1}{3}})\,C e^{6x_1^\frac{1}{3}}-(3x_{1}^{\frac{2}{3}}+x_{1}^{\frac{1}{3}})}"
y^{\prime}={\frac{1}{3}}\;y^{2}+{\frac{2}{3x^{2}}},y={\frac{-C x^{\frac{2}{3}}+2x}{C x^{\frac{5}{3}}-x^{2}}}
y^{\prime}+y^{2}+{\frac{1}{x}}y-{\frac{4}{x^{2}}}=0,y={\frac{2x^{4}-2C}{x^{5}+C x}}
x y^{\prime}-3y+y^{2}=4x^{2}-4x,y=2x
y^{\prime}=y^{2}+x^{-4},y={\frac{\operatorname{ctg}\left({\frac{1}{x}}+C\right)}{x^{2}}}-{\frac{1}{x}}
(y-x)\ \sqrt{1+x^{2}}\ \frac{d y}{d x}=(1+y^{2})^{\frac{3}{2}},\operatorname{arctg}y+C={\frac{{\sqrt{1-x^{2}}}{\sqrt{1+y^{2}}}+y-x}{x y+1}}
\frac{{d y}}{d x}(x^{2}+y^2+3)=2x(2y-\frac{x^2}{y}),"(y^{2}-2x^{2}-3)^{3}=C\,(y^{2}-x^2-1)^2"
"\frac{d y}{d x}=\frac{x-y^{2}}{2y\,(x+y^{2})}",y^{4}+2x y^{2}-x^2=C
[x\left(x+y\right)+a^{2}]\frac{d y}{d x}=y\left(x+y\right)+b^{2},(x+y)^{2}+a^{2}+b^{2}=C\ (b^{2}x-a^{2}y)^{2}
"\frac{d \eta}{d\xi}=\frac{2\eta}{\xi},\,\,\,\eta=C\xi^{2}",\eta=C|\xi|^{-k}
{\frac{d \eta}{d\xi}}=-{\frac{\eta}{\xi}},\xi\eta=C
"(3x^{2}+6x y^{2})\,d x +(6x^{2}y\,+\,4y^{3})\,d y=0", x^{8}+3x^{2}y^{2}+y^{4}=C
"{\frac{x\,d x+y\,d y}{y\,\overline{{{1+x^{2}+y^{2}}}}}}+{\frac{y\,d x-x\,d y}{x^{2}+y^{2}}}=0",{\sqrt{{1+x^{2}+y^{2}}}}+\arctan{\frac{x}{y}}=C
{\frac{2x\;d x}{y^{3}}}+{\frac{y^{2}-3x^{2}}{y^{4}}}\;d y=0,"\scriptstyle{\frac{x^{3}}{y^{3}}}\,-\,{\frac{1}{y}}\,=\,C"
\left({\frac{1}{y}}\sin{\frac{x}{y}}-{\frac{y}{x^{2}}}\cos{\frac{y}{x}}+1\right)d x+\left({\frac{1}{x}}\cos{\frac{y}{x}}-{\frac{x}{y^{2}}}\sin{\frac{x}{y}}+{\frac{1}{y^{2}}}\right)d y=0,\sin{\frac{y}{x}}-\cos{\frac{x}{y}}+x-{\frac{1}{y}}=C
\left(\frac{1}{x}-\frac{y^{2}}{(x-y)^{2}}\right)d x+\left(\frac{x^{2}}{(x-y)^{2}}-\frac{1}{y}\right)d y=0,{\frac{x y}{x-y}}+\ln{\frac{x}{y}}=C
"\left(\,2x y+x^{2}y+{\frac{y^{3}}{3}}\right)d x+\left(x^{2}+y^{2}\right)d y=0",y e^{x}\left(x^{2}+{\frac{y^{3}}{3}}\right)=C
{\frac{d y}{d x}}-y{\mathrm{\scriptsize~tg.}}x=\cos x,y\cos x-{\frac{x}{2}}-{\frac{1}{2}}\sin x\cos x=C
"y^{3}\,d x+2\,(x^{2}-x y^{2})\,d y=0",\nu=\frac{1}{x^2y}
"y^{3}\,d x+2\,(x^{2}-x y^{2})\,d y=1",\ln y-{\frac{y^{2}}{x}}=C
"(x^{2}y^{2}-1)\,d y+2x y^{3}\,d x=0",x^{2}y+{\frac{1}{y}}=C
"(2x y^{2}{-}y)\,d x+(y^{2}+x+y)\,d y=0",x^{2}-{\frac{x}{y}}+y+\ln y=C
y^{\prime2}+yy\prime-x^2-xy=0,y={\frac{x^{2}}{2}}+C
y^{\prime2}+yy\prime-x^2-xy=1,y=C e^{-x}-x+1
{y^{\prime2}+}y^{2}-1=0,\arcsin y=x+C
{y^{\prime2}+}y^{2}-1=1,\arcsin y=-x+C
x y^{\prime2}-2yy^{\prime}+4x=0,x^{2}=2C(y-2C)
{\frac{dy}{dx}}^{2}y+{\frac{dy}{dx}}\left(x-y\right)-x=0,y={\sqrt{{C^{2}-x^{2}}}}
{\frac{dy}{dx}}^{2}y+{\frac{dy}{dx}}\left(x-y\right)-x=1,y=x+C
x^{2}{\frac{dy}{dx}}^{2}-2x y {\frac{dy}{dx}}+y^{2}=x^{2}y^{2}+x^{4},y=x\operatorname{sh}\left(x+C\right)
{\frac{dy}{dx}}^{3}\!-(x^{2}+x y+y^{2}){\frac{dy}{dx}}^{2}+(x^{3}y+x^{2}y^{2}+x y^{3}){\frac{dy}{dx}}-x^{3}y^{3}=0,"y={\frac{1}{3}}\,x^{3}+C"
{\frac{dy}{dx}}^{3}\!-(x^{2}+x y+y^{2}){\frac{dy}{dx}}^{2}+(x^{3}y+x^{2}y^{2}+x y^{3}){\frac{dy}{dx}}-x^{3}y^{3}=1,y={\frac{1}{C-x}}
{\frac{dy}{dx}}^{3}\!-(x^{2}+x y+y^{2}){\frac{dy}{dx}}^{2}+(x^{3}y+x^{2}y^{2}+x y^{3}){\frac{dy}{dx}}-x^{3}y^{3}=2,"y=C e^{{\frac{1}{2}}\,x^{2}}"
x {\frac{dy}{dx}}^{2}+2x {\frac{dy}{dx}}-y=0,(y{{{-C}}})^{2}=4x C
y=p+\ln\;p,"x=\ln\,p-{\frac{1}{p}}+C"
p^{3}-y^{2}(a-p)=0,"x=t+2\operatorname{arctg}\,t+C"
p^{3}-y^{2}(a-p)=1,y={\frac{a t^{2}}{1+t^{2}}}
x y^{\prime3}=1+y^{\prime},x=t^{3}+t^{2}
x y^{\prime3}=1+y^{\prime},y={\frac{3}{2}}t^{2}+2t+C
p^{3}-x^{3}(1-p)=0,x={\frac{1}{t}}-t^{2}
p^{3}-x^{3}(1-p)=1,{y}=\frac{1}{t}-\frac{t^{2}}{2}+\frac{2t^{5}}{5}+C
p^{3}+y^{3}-3p y=0,{{x}}=-t+\ln{\frac{1+t}{\sqrt{1-t+t^{2}}}}+{+\mathrm{arctg}\frac{2t-1}{\sqrt{3}}}+C
p^{3}+y^{3}-3p y=1,y={\frac{3t^{2}}{1+t^{3}}}
y=e^{{y}^{\prime}}y^{\prime2},y=e^{p}p^{2}
y=e^{{y}^{\prime}}y^{\prime2},x=e^{p}(p+1)+C
y^{2}(y^{\prime}-1)=(2-y^{\prime})^{2},y=x-C-{\frac{1}{x-C}}
"y\,{{(1+y^{\prime2})}}=2a","y=\alpha\,(1+\cos2\varphi)"
"y\,{{(1+y^{\prime2})}}=2a","x=\alpha\,(-2\varphi-\sin2\varphi)+C"
y=2p x+p^{2},y={\frac{2C}{p}}-{\frac{p^{2}}{3}}
"{\frac{dy}{dx}}^{4}=4y\,(x {\frac{dy}{dx}}-2y)^{2}",y=C^{2}(x- C)^{2}
"{\frac{dy}{dx}}^{4}=4y\,(x {\frac{dy}{dx}}-2y)^{2}",y={\frac{x^{4}}{16}}
"{\frac{dy}{dx}}^{4}=4y\,(x {\frac{dy}{dx}}-2y)^{2}",y=0
y=2{\frac{dy}{dx}} x+{\frac{x^{2}}{2}}+{\frac{dy}{dx}}^{2},y=-{\frac{x^{2}}{4}}+C x+C^{2}
y=2{\frac{dy}{dx}} x+{\frac{x^{2}}{2}}+{\frac{dy}{dx}}^{2},y={\frac{-x^{2}}{2}}
y={\frac{k\left(x+y {\frac{dy}{dx}}\right)}{{\sqrt{{1+{\frac{dy}{dx}}^2}}}}},"k\neq1,\;x^{2}+y^{2}={\frac{{{2}}C x+C^{2}}{k^{2}-1}}"
y={\frac{k\left(x+y {\frac{dy}{dx}}\right)}{{\sqrt{{1+{\frac{dy}{dx}}^2}}}}},"k=1,x^{2}+y^{2}=C x"
x={\frac{dy}{dx}}y+a{\frac{dy}{dx}}^{2},y={\frac{C+a\arcsin {\frac{dy}{dx}}}{\sqrt{1-{\frac{dy}{dx}}^{2}}}}-a {\frac{dy}{dx}}
y={{x}}{\frac{dy}{dx}}^{2}+{{{\frac{dy}{dx}}}}^{3},x=-{\frac{dy}{dx}}-{\frac{1}{2}}+{\frac{C}{(1-{\frac{dy}{dx}})^{2}}}
y=xy^{\prime}+y^{\prime}-y^{\prime2},y={\frac{(x+1)^{2}}{4}}
y=2{\frac{dy}{dx}} x+y^{2}{\frac{dy}{dx}}^{3},y^{4}=-{\frac{32x^{3}}{27}}
{\frac{dy}{dx}}^{2}\left(x^{2}-1\right)-2{\frac{dy}{dx}} x y+y^{2}-1=0,x^{2}+y^{2}=1
{y}^{\prime2}+2xy^{\prime}+2y=0,x=\frac{C}{\sqrt{p}}-\frac{p}{3}
y^{\prime}=y^{\frac{2}{3}},27y=({{x}}+C)^{3}
y^{\prime2}+y^{2}=1,y^{\prime}=\sqrt{1-y^2}
y^{\prime2}+y^{2}=1,y^{\prime}=-\sqrt{1-y^2}
{\frac{d y}{d x}}={\sqrt{y-x}}+1,y=x
{\frac{d y}{d x}}={\sqrt{|y|}},y=0
{\frac{d y}{d x}}=\pm{\sqrt{y}},y=0
{\frac{d y}{d x}}=y\ln y,y=0
{\frac{d y}{d x}}=y\left(\ln y\right)^{2},y=0
\frac{d y}{d x}=-x\pm\sqrt{x^{2}+2y},y=C x+{\frac{C^{2}}{2}}
\frac{d y}{d x}=-x\pm\sqrt{x^{2}+2y},y=-{\frac{x^{2}}{2}}
a y^{\prime\prime}=-\ (1+y^{\prime2})^{\frac{3}{2}},(x- C_{1})^{2}+(y- C_{2})^{2}=a^{2}
"a^{2}\,{\frac{d v}{d x^{4}}}={\frac{d^{2}y}{d x^{2}}}",y=4e^{\frac{x}{a}}+B e^{-{\frac{x}{a}}}+C x+D
y^{\prime\prime\prime2}+{{x}}^{2}=1,x=\sin\varphi
y^{\prime\prime\prime2}+{{x}}^{2}=2,"y=-\,\frac{1}{8}\,\varphi\cos2\varphi\,+\,\frac{3}{16}\,\varphi+C_{2}\,\mathrm{sin}\,\varphi+\frac{7}{48}\,\mathrm{sin}\,2\varphi-\frac{C_{1}}{4}\,\mathrm{cos}\,2\varphi-\frac{1}{192}\,\mathrm{sin}\,4\varphi+C_{3}"
"y^{\prime\prime}={\frac{1}{\sqrt{y\,}}}",x+C_2={\frac{2}{3}}(\sqrt{y}+C_{1})^{\frac{3}{2}}-2C_{1}(\sqrt{y}+C_{1})^{\frac{1}{2}}
a^{3}y^{\prime\prime\prime}y^{\prime\prime}=(1+C^{2}y^{\prime\prime2})^{\frac{1}{2}},y={\frac{1}{6a^{3}C^{5}}}\left[C^{4}(x+C_{1})^{2}-a^{6}\right]^{3/2}-{\frac{a^{3}}{2C^{3}}}(x+C_{1})\ln{[C^{2}(x+C_{1})}+{\sqrt{C^{4}(x+C_{1})^{2}-a^{6}}}+{\frac{a^{5}}{2C^{5}}}~{\sqrt{C^{4}(x+C_{1})^{2}-a^{6}}}+{\frac{a^{5}}{2C^{4}(x+C_{1})^{2}-a^{6}}}+C_2x+C_3
y^{\prime\prime\prime}\ =\ \sqrt{1+y^{\prime\prime2}},y=\operatorname{sh}{(x+C_{1})}+C_{2}x+C_{3}
2\left(2a-y\right)y^{\prime\prime}=1+y^{\prime2},y=2a+C_{1}(1-\cos\phi)
2\left(2a-y\right)y^{\prime\prime}=1+y^{\prime2},x=C_{1}(\varphi-\sin\varphi)+C_2
y^{\prime\prime}-x y^{\prime\prime\prime}-y^{\prime\prime3}=0,y={\frac{C_{1}x^{3}}{6}}-{\frac{C_{1}^{3}x^{3}}{2}}+C_{2}x+C_{3}
y y^{\prime\prime}+y^{\prime2}=y^{2}\ln y,\ln y=C_{1}e^{x}+C_{2}e^{-x}.
x^{2}y y^{\prime\prime}=(y- x y^{\prime})^{2},y=C_2xe^{-\frac{C_1}{x}}
y y^{\prime\prime}-y^{\prime2}={0},y=C_{1}e^{C_2x}
x y y^{\prime\prime}+x y^{\prime 2}-y y^{\prime}=0,y=C_{1}\;{\sqrt{{x^{2}+C_{2}}}}
"x^{4}\,\frac{d^{2}y}{d x^{2}}-(x^{3}+2x y)\,\frac{d y}{d x}\,+4y^{2}=0","y={\frac{(1+a)\,x^{2}-C_{2}(1-a)\,x^{2a+2}}{1-C_{2}x^{2a}}}"
n x^{3}y^{\prime\prime}=(y-{x y^{\prime}})^2,y=n x\ln{\frac{C_{1}x}{1+C_{2}x}}
y^2(x^2y^{\prime\prime}-xy^{\prime}+y)=x^3,c^{\prime}x^{c^{3}}=\frac{c\sqrt{y}+\sqrt{cy-2x}}{c\sqrt{y}-\sqrt{cy-2x}}-e^{\frac{2c\sqrt{y}\sqrt{cy-2x}}{(c^2-c)y+2x}}
x^{2}y^{3}y^{\prime\prime}-3x y^{2}y^{\prime}+4y^{3}+x^{6}=0,c^{\prime}x^{c^{3}}=\frac{c\sqrt{y}+\sqrt{cy-2x^2}}{c\sqrt{y}-\sqrt{cy+2x^2}}*e^{\frac{2c\sqrt{y}\sqrt{cy+2x^2}}{(c^2-c)y-2x^2}}
y^{\prime\prime}- x y^{\prime}-y=0,y=e^{\frac{x^{2}}{2}}(C_{1}\int e^{-{\frac{x^{2}}{2}}}d x+C_{2})
y^{\prime\prime}y+2y^{2}y^{\prime2}+y^{\prime2}=\frac{2y y^{\prime}}x,y=\sqrt{{\ln(C_{1}^{\prime}x^{3}+(C_{2}^{\prime})}}
y y^{\prime\prime}=2y^{\prime2},"y=-\,{\frac{1}{C_{1}x+C_{2}}}"
y^{\prime}y^{\prime\prime}-x^{2}y y^{\prime}-x y^{2}=0,y^{\prime2}-x^{2}y^{2}=C
"x\,(x^{2}y^{\prime}+2x y)\,y^{\prime\prime}+4x y^{\prime2}+8x y y^{\prime}+4y^{2}-1=0",y={\frac{(x^{2}+C_{1})^{\frac{3}{2}}}{3x^{2}}}+{\frac{C_{3}}{x^{2}}}
"x\,(x y+1)\,y^{\prime\prime}+x^{2}y^{\prime2}+(4x y+2)\,y^{\prime}+y^{2}+1=0",x^2y^3+2x y+x^{2}=C_{1}x+C_{2}
y y^{\prime\prime}- y^{\prime2}\mathbb{-}y^{\prime\ 4}=0,"x=C_{1}\Bigl(\ln\,\mathrm{tg\,}\frac\varphi2+\cos\varphi\Bigr)+C_{2}"
y y^{\prime\prime}- y^{\prime2}\mathbb{-}y^{\prime\ 4}=1,y=C_{1}\sin\varphi
a^{2}y^{\prime\prime}=2x\ (1+y^{\prime2})^{\frac{1}{2}},y=C_{2}+\frac{1}{2}\int\big[e^{\frac{x^2}{a^2}+C_1}-e^{-(\frac{x^2}{a^2}+C_1)}\big]d x
x^2yy^{\prime\prime}+x^2y^{\prime2}-5xyy^{\prime}+4y^2=0,y=C_{1}x{\sqrt{x^{2}+C_{2}}}
y\left(1-\ln y\right)y^{\prime\prime}+\left(1+\ln y\right)y^{\prime2}=0,\ln y=1-{\frac{1}{C x+{{C}}^{\prime}}}
5y^{\prime\prime\prime2}{-}3y^{\prime\prime}y^{\prime\prime\prime\prime}=0,y{=}C_{1}x{+}C_{2}{+}\ {\sqrt{{C_{3}}x{+}C_{4}}}
5y^{\prime\prime\prime2}{-}3y^{\prime\prime}y^{\prime\prime\prime\prime}=1,y=a x^{2}+b x+c
y^{\prime\prime2}+2x y^{\prime\prime}-y^{\prime}=0,x=-{\frac{2t}{3}}+{\frac{C_{1}}{t^{2}}}
y^{\prime\prime2}+2x y^{\prime\prime}-y^{\prime}=1,y={\frac{2}{27}}\;t^{3}-{\frac{2C_{1}}{3}}\ln t+{\frac{4C_{1}^{2}}{3t^{3}}}+C_{2}
y^{\prime\prime2}-2x y^{\prime\prime}- y^{\prime}=0,"x={\frac{C_{1}}{t^{2}}}+{\frac{2}{5}}\,t^{5}"
y^{\prime\prime2}-2x y^{\prime\prime}- y^{\prime}=1,y=-{\frac{4C_{1}^{2}}{t}}-{\frac{7}{10}}t^{4}+{\frac{2}{75}}t^{3}+C_{1}
y^{\prime\prime}+\frac{2}{x}\;y^{\prime}+y=0,y=C_{1}{\frac{\sin x}{x}}+C_{2}{\frac{\cos x}{x}}
y^{\prime\prime}\sin^{2}x=2 y,y=C_{2}+\left(C_{1}-C_{2}x\right)\operatorname{ctg}x
x^{5}y^{\prime\prime\prime}-3x^{2}y^{\prime\prime}+6x y^{\prime}-6y=0,y=C_{1}x+C_{2}x^{2}+C_{3}x^{3}
x y^{\prime\prime\prime}-y^{\prime\prime}+x y^{\prime}-y=0,y=C_{1}x+C_{2}\sin x+C_{3}\cos x
(1-x^2)\;y^{\prime\prime\prime}-x y{\prime\prime}+y{\prime}=0,y=C_{1}+C_{2}x^{2}+C_{3}\left(\operatorname{arcsin}x+x{\sqrt{1-x^{2}}}\right)
x^{2}y^{\prime\prime}-2x y^{\prime}+2y=2x^{3},y=C_{1}x+C_{2}x^{2}+x^{3}
x y^{\prime\prime}- y^{\prime}= x^{2},y=С_{1}+С_{2}x^{2}+\frac{x^{3}}{3}
y^{\prime\prime}+{\frac{x}{1-x}}y^{\prime}-{\frac{1}{1-x}}y=x-1,y=C_{1}e^{x}+C_{2}x-(x^{2}+1)
"(x^{2}+2)\,y^{\prime\prime\prime}-2x y^{\prime\prime}+(x^{2}+2)\,y^{\prime}-2x y=x^{4}+12",y=C_{1}\cos x+C_{2}\sin x+C_{3}x^{2}+x^{3}
{\frac{d^{2}y}{d x^{2}}}+{\frac{1}{x^{2}\ln x}}y=e^{x}\left({\frac{2}{x}}+\ln x\right),y=\ln x\left(C_{1}+C_{2}\int\frac{d x}{\ln^{2}x}+e^{x}\right)
"(2x+1)\,y^{\prime\prime}\!+(4x-2)\,y^{\prime}-8y=0",y=C_{1}e^{-2x}+C_{2}\left(4x^{2}+1\right)
"{\sin}^{2}\,x y^{\prime\prime}+{\sin}\,x{\cos}\,x y^{\prime}=y",y_{1}={\frac{1}{\sin x}}
"{\sin}^{2}\,x y^{\prime\prime}+{\sin}\,x{\cos}\,x y^{\prime}=y",y_{2}=\operatorname{ctg}x
{\frac{d^{2}x}{d t^{2}}}+a^{2}x=0,x=C_{1}\cos a t\ -C_{2}\sin a t
y^{\prime\prime\prime}+y=0,y=C_{1}e^{-x}+e^{\frac{x}{2}}(C_2\cos x \frac{\sqrt{3}}{2}+C_3\sin x \frac{\sqrt{3}}{2})
y^{\prime\prime\prime}- y^{\prime\prime}- y^{\prime}+ y=0,y=e^{x}(C_{1}+ C_{2}x)+ C_{3}e^{-x}
y^{\mathrm{IV}}+8y^{\prime\prime}+16y=0,y=(C_{1}+C_{2}x)\cos2x+(C_{3}+C_{4}x)\sin2x
y^{\mathrm{IV}}-2y^{\prime\prime}=0,y=C_{1}+C_{2}x+C_{3}e^{x\sqrt{2}}+C_{4}e^{-x\sqrt{2}}
y^{\prime\prime\prime}-3y^{\prime\prime}+3y^{\prime}- y=0,y=e^{x}\left(C_{1}+C_{2}x+C_{3}x^{2}\right)
y^{\mathrm{IV}}+4y=0,y=e^{x}(C_{1}\cos x+C_{2}\sin x)+e^{-x}(C_{3}\cos x+C_{4}\sin x)
y^{\mathrm{IV}}-y=0,y=C_{1}e^{x}+C_{2}e^{-x}+C_{3}\cos x+C_{4}\sin x
y^{\prime\prime}+{y}^{\prime}-y=0,y=C_{1}e^{\frac{x}{2}}+C_{2}e^{-x}
y^{\mathrm{IV}}+y^{\prime\prime\prime}+3y^{\prime\prime}+2y^{\prime}+y=0,"y=e^{-\frac{x}{2}}\biggl\{(C_{1}+C_{2}x)\cos\frac{x\sqrt{3}}{2}+(C_{3}+C_{4}x)\sin\frac{x\,\sqrt{3}}{2}\biggr\}"
2xy\mathrm{d}x + (x^2 - y^2)\mathrm{d}y = 0,3x^2 - y^3 = C
(2 - 9xy^2)x\mathrm{d}x + (4y^2 - 6x^3)y\mathrm{d}y = 0,x^2 - 3x^3y^2 + y^4 = C
e^{-y}\mathrm{d}x - (2y + xe^{-y})\mathrm{d}y = 0,xe^{-y} - y^2 = C
\frac{y}{x}\mathrm{d}x + (y^3 + \ln x)\mathrm{d}y = 0,4y\ln{x} + y^4 = C
\frac{3x^2 + y^2}{y^2}\mathrm{d}x - \frac{2x^3 + 5y}{y^3}\mathrm{d}y,x + \frac{x^3}{y^2} + \frac{5}{y} = C
2x(1 + \sqrt{x^2 - y})\mathrm{d}x - \sqrt{x^2 - y}\mathrm{d}y = 0,x^2 + \frac{2}{3}(x^2 - y)^{\frac{3}{2}} = C
(1 + y^2\sin{2x})\mathrm{d}x - 2y\cos^2{x}\mathrm{d}y = 0,x - y^2\cos^2{x} = C
3x^2(1 + \ln y)\mathrm{d}x = (2y - \frac{x^3}{y})\mathrm{d}y,x^3 + x^3\ln{y} - y^2 = C
(\frac{x}{\sin{y}} + 2)\mathrm{d}x + \frac{(x^2 + 1)\cos{y}}{\cos{2y} - 1}\mathrm{d}y = 0,x^2 + 1 = 2(C - 2x)\sin{y}
"(x^{2}+y^{2}+x)\,\mathrm{d}x+y\,\mathrm{d}y=0.",{\bf2x}+\ln(x^{2}+y^{2})=C.
"(x^{2}+y^{2}+y)\,\mathrm{d}x-x\,\mathrm{d}y=0.",x + \arctg{\frac{x}{y}} = C
"y\,{\mathrm{d}}y=(x\,{\mathrm{d}}y+y\,{\mathrm{d}}x){\sqrt{1+y^{2}}},",x y+C={\sqrt{1+y^{2}}}
x y^{2}(x y^{\prime}+y)=1.,"2x^{3}y^{3}\,-\,3x_{.}^{2}=C."
"\begin{array}{c}{{y^{2}\,\mathrm{d}x-(x y+x^{3})\,\mathrm{d}y=0.}}\\ {{.}}\end{array}",y^{2}=x^{2}(C-2y);
"\begin{array}{c}{{y^{2}\,\mathrm{d}x-(x y+x^{3})\,\mathrm{d}y=0.}}\\ {{.}}\end{array}",x=0
"\left(y-{\frac{1}{x}}\right)\,\mathrm{d}x+{\frac{\mathrm{d}y}{y}}=0.",(x^{2}-C)y=2x.
"(x^{2}+3\ln y)y\,\mathrm{d}x=x\,\mathrm{d}y.",x^{2}+\ln y=C x^{3};
"(x^{2}+3\ln y)y\,\mathrm{d}x=x\,\mathrm{d}y.",x=0
y^{2}\operatorname{d}\!x+(x y+\operatorname{tg}\!x y)\operatorname{d}\!y=0.,y\sin x y=C.
"y(x+y)\,{\mathrm{d}}x+(x y+1)\,{\mathrm{d}}y=0.",\frac{x^{2}}{2}+x y+\ln|y|=C;
"y(x+y)\,{\mathrm{d}}x+(x y+1)\,{\mathrm{d}}y=0.",y=0
"\begin{array}{r}{y(y^{2}+1)\,{\mathrm{d}}x+x(y^{2}-x+1)\,{\mathrm{d}}y=0.}\\ {\cdot}\end{array}",-x + 1 = xy(\arctg{y} + C)
"\begin{array}{r}{y(y^{2}+1)\,{\mathrm{d}}x+x(y^{2}-x+1)\,{\mathrm{d}}y=0.}\\ {\cdot}\end{array}",y=0
"\begin{array}{r}{y(y^{2}+1)\,{\mathrm{d}}x+x(y^{2}-x+1)\,{\mathrm{d}}y=0.}\\ {\cdot}\end{array}",x=0
"(x^{2}+2x+y)\,\mathrm{d}x=(x-3x^{2}y)\,\mathrm{d}y.",x+2\ln|x|+{\textstyle{\frac{3}{2}}}y^{2}-{\textstyle{\frac{y}{x}}}=C;
"(x^{2}+2x+y)\,\mathrm{d}x=(x-3x^{2}y)\,\mathrm{d}y.",x=0
"\begin{array}{r}{y\,{\mathrm{d}}x-x\,{\mathrm{d}}y=2x^{3}\,{\mathrm{tg}}\,{\frac{y}{x}}\,{\mathrm{d}}x.}\end{array}",\sin{\frac{y}{x}}=C e^{-x^{2}}
y^{2}\operatorname{d}\!x+(e^{x}-y)\operatorname{d}\!y=0.,\ln|y|-y\mathrm{e}^{-x}=C;
y^{2}\operatorname{d}\!x+(e^{x}-y)\operatorname{d}\!y=0.,y = 0
\begin{array}{c}{{x y\operatorname{d}\!x=\left(y^{3}+x^{2}y+x^{2}\right)\operatorname{d}\!y.}}\end{array},\ln\!\left({\frac{x^{2}}{y^{2}}}+1\right)=2y+C;
\begin{array}{c}{{x y\operatorname{d}\!x=\left(y^{3}+x^{2}y+x^{2}\right)\operatorname{d}\!y.}}\end{array},y=0
"\begin{array}{l}{{x^{2}y(y\,\mathrm{d}x+x\,\mathrm{d}y)=2y\,\mathrm{d}x+x\,\mathrm{d}y.}}\\ {{\cdot}}\end{array}",x^{2}y\ln C x y=-1;
"\begin{array}{l}{{x^{2}y(y\,\mathrm{d}x+x\,\mathrm{d}y)=2y\,\mathrm{d}x+x\,\mathrm{d}y.}}\\ {{\cdot}}\end{array}",x=0
"\begin{array}{l}{{x^{2}y(y\,\mathrm{d}x+x\,\mathrm{d}y)=2y\,\mathrm{d}x+x\,\mathrm{d}y.}}\\ {{\cdot}}\end{array}",y=0
